,Point Estimate,Lower Bound,Upper Bound
0.28822312,0.7411167512690355,0.6666666666666666,0.8021247079439252
0.46546817,0.736318407960199,0.6630970978789882,0.8
0.6427132,0.7464114832535885,0.6736788399570355,0.8097560975609757
0.8199582,0.7441860465116279,0.67280896522832,0.8053127377567774
0.99720323,0.7522123893805309,0.6808248611256682,0.8130219098801157
1.1744483,0.7521367521367521,0.6849193302891933,0.8083423913043478
1.3516934,0.7520661157024794,0.688357360833421,0.811029155994055
1.5289384,0.7428571428571429,0.6782571375256577,0.8
1.7061834,0.7480314960629921,0.6857085253456221,0.8030145707815237
1.8834285,0.735632183908046,0.6774193548387096,0.7897410140768073
2.0606735,0.7348484848484849,0.6740272014753342,0.7907063519611246
2.2379184,0.7407407407407407,0.6799960474308301,0.8
2.4151635,0.73992673992674,0.6772876995953194,0.7946171815878657
2.5924084,0.7338129496402878,0.6714783965151871,0.7919496312047312
2.7696536,0.7304964539007093,0.671813198149076,0.7844612425638503
2.9468985,0.714828897338403,0.6488498040024757,0.7761303373243672
3.1241436,0.7142857142857143,0.6444993673736356,0.7711892908717793
3.3013887,0.7009345794392523,0.63099064171123,0.7636492281303602
3.4786336,0.6875,0.6077313098818099,0.7604417829949238
3.6558788,0.6775956284153005,0.5945868725868726,0.7537727906548449
3.8331237,0.6408839779005525,0.562491554054054,0.7143042190969652
4.010369,0.6338797814207651,0.554197923770554,0.7093037575896437
4.187614,0.6222222222222222,0.5392147896524694,0.6994813374085393
4.364859,0.6236559139784946,0.5333152173913044,0.6956851119894598
4.5421042,0.6120218579234973,0.5293840177580467,0.6892669080138226
4.7193494,0.6033519553072626,0.517627230667548,0.684805900621118
4.896594,0.6127167630057804,0.5251361731843576,0.691555068836045
5.073839,0.6272189349112426,0.5368886256963635,0.7039264855256475
5.2510843,0.6303030303030303,0.54190910935281,0.7108500669344042
5.4283295,0.6227544910179641,0.5374953358208955,0.7005649717514124
5.605574,0.6242774566473989,0.530599950823703,0.7113727929849508
5.7828193,0.6235294117647059,0.5333152173913044,0.7033163265306123
5.9600644,0.5822784810126582,0.49223776223776233,0.6666666666666666
6.1373096,0.5806451612903226,0.4805064935064935,0.663075506445672
6.3145547,0.5526315789473685,0.4503047317400903,0.6369566082802547
6.4917994,0.5695364238410596,0.46039627314541814,0.6585566872152238
6.6690445,0.5620915032679739,0.46040234479083403,0.6497045506868236
6.8462896,0.581081081081081,0.48482404692082115,0.6709011724061891
7.023535,0.5694444444444444,0.46714111922141116,0.6580763178599528
7.2007794,0.5555555555555556,0.44590840840840845,0.6536071032186459
7.3780246,0.5555555555555556,0.44615107913669066,0.6474921471273685
7.5552697,0.5633802816901409,0.46151079136690654,0.6515393294648614
7.732515,0.5428571428571428,0.4385338345864662,0.6383042809536017
7.90976,0.5492957746478874,0.4444444444444444,0.6415094339622641
8.087005,0.5413533834586466,0.4374495967741936,0.6370685579196218
8.26425,0.5483870967741935,0.4464248819362456,0.6519272369714847
8.441495,0.5573770491803278,0.4426193239518352,0.6507936507936508
8.61874,0.5691056910569106,0.4629591368227732,0.6666666666666666
8.795985,0.5853658536585366,0.4726737967914439,0.6814814814814815
8.97323,0.584070796460177,0.4752307434133244,0.686910084451068
9.1504755,0.5739130434782609,0.4561004784688995,0.672276344165985
9.32772,0.5714285714285714,0.4426150693568726,0.6825595238095238
9.504965,0.5825242718446602,0.46332352116624625,0.6857142857142857
9.68221,0.5742574257425742,0.4424685607824872,0.6896551724137931
9.859455,0.5686274509803921,0.44439102564102567,0.6785796199213631
10.0367,0.5714285714285714,0.453542551041035,0.6789077375800588
10.213945,0.5686274509803921,0.44680851063829785,0.6779894262167625
10.391191,0.5825242718446602,0.46150442477876114,0.6890901188061431
10.568436,0.5531914893617021,0.42496323529411767,0.6732673267326733
10.745681,0.5333333333333333,0.39022806461830856,0.6464795008912656
10.922925,0.5393258426966292,0.4102409638554217,0.6593406593406593
11.10017,0.5,0.359536156727168,0.628610567514677
11.277415,0.5238095238095238,0.38228778853313483,0.6444623655913979
11.45466,0.5121951219512195,0.36358159912376786,0.6341463414634146
11.631906,0.48717948717948717,0.3380190232302908,0.6172839506172839
11.809151,0.4935064935064935,0.34468147282291073,0.6177464228934817
11.986396,0.5194805194805194,0.37681159420289856,0.6486486486486487
12.163641,0.5454545454545454,0.4052702702702704,0.6666666666666666
12.340886,0.5333333333333333,0.3677115987460816,0.6585504434589801
12.51813,0.5316455696202531,0.3933287795992715,0.6428968253968254
12.695375,0.5609756097560976,0.4197070204532891,0.681831550802139
12.872621,0.611764705882353,0.4788061703554662,0.7311959087332809
13.049866,0.5882352941176471,0.46148648648648655,0.708366935483871
13.227111,0.5934065934065934,0.47055192447349314,0.7091520979020979
13.404356,0.6086956521739131,0.4819048345279854,0.7193157894736842
13.581601,0.6105263157894737,0.4819277108433735,0.7079646017699115
13.758846,0.6041666666666666,0.47898525280898896,0.7131072995612285
13.936091,0.6078431372549019,0.4888617886178862,0.7170053217223028
14.113336,0.6138613861386139,0.48778924327704815,0.7184854368932039
14.290581,0.6213592233009708,0.4998762376237625,0.7238177339901477
14.467826,0.6037735849056604,0.49016339869281045,0.7097239454094293
14.645071,0.6181818181818182,0.5050456016475434,0.7143390191897654
14.822316,0.631578947368421,0.5106274424663482,0.7272727272727273
14.999561,0.6440677966101694,0.5279355932203391,0.7442254631454474
15.176806,0.6554621848739496,0.5555322128851541,0.7419585253456221
15.354052,0.6440677966101694,0.5370039682539683,0.7324051177292764
