Model,F1 Score,Accuracy,Kappa
ELMClassifier,0.648353991461173,0.9442170669197125,0.6185917778866602
KNeighborsClassifier,0.6329519127749013,0.9431983226044384,0.6029257872331443
SGDClassifier,0.663903151239975,0.9397374511294865,0.6311037892090724
SVC,0.6386673840267815,0.9419775698068801,0.6075376946565816
RandomForestClassifier,0.6561984202356829,0.9450317308708327,0.6267909264857066
ExtraTreesClassifier,0.661449040845943,0.9448286864476134,0.6317211861576124
HistGradientBoostingClassifier,0.6588998557583083,0.9448297223885482,0.6291917838061897
XGBClassifier,0.634494190274577,0.9429961069339671,0.604305619189562
